area_name,auto_theft_coordinated_traced,auto_theft_recovered,auto_theft_stolen,calendar_year,cases_property_recovered,cases_property_stolen,cpa_cases_registered,cpa_cases_reported_for_dept._action,cpa_cases_sent_for_trials_chargesheeted,cpa_complaints_cases_declared_false_unsubstantiated,cpa_complaints_received_alleged,cpa_no_of_departmental_enquiries,cpa_no_of_judicial_enquiries,cpa_no_of_magisterial_enquiries,cpb_police_personnel_acquitted,cpb_police_personnel_cases_withdrawn_or_otherwise_disposed_of,cpb_police_personnel_convicted,cpb_police_personnel_sent_up_for_trial,cpb_police_personnel_trial_completed,cpc_police_personnel_cases_trial_completed,cpc_police_personnel_cases_withdrawn_or_otherwise_disposed_of,cpc_police_personnel_disciplinary_action_initiated,cpc_police_personnel_dismissal_removal_from_service,cpc_police_personnel_major_punishment_awarded,cpc_police_personnel_minor_punishment_awarded,df_auto_theft,df_complaints_against_police,df_property_stolen_and_recovered,df_serious_fraud,df_victims_of_rape,group_name,loss_of_property_10_25_crores,loss_of_property_1_10_crores,loss_of_property_25_50_crores,loss_of_property_50_100_crores,loss_of_property_above_100_crores,sub_group_name,value_of_property_recovered,value_of_property_stolen,victims_above_50_yrs,victims_between_1014_yrs,victims_between_1418_yrs,victims_between_1830_yrs,victims_between_3050_yrs,victims_of_rape_total,victims_upto_10_yrs
Rajasthan,11,160,570,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Sikkim,0,2,4,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Tamil Nadu,0,126,197,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Uttar Pradesh,18,366,1565,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Uttarakhand,0,31,132,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
West Bengal,0,251,499,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Andhra Pradesh,0,117,190,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,0,2,2,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Assam,0,7,22,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Bihar,6,57,122,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Chandigarh,0,101,286,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Chhattisgarh,0,45,128,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,0,1,6,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Daman & Diu,0,3,4,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Delhi,102,880,3632,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Goa,0,5,8,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Gujarat,29,172,565,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Haryana,0,410,780,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Himachal Pradesh,8,41,67,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,3,95,308,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Jharkhand,0,43,104,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Karnataka,32,153,523,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Kerala,10,207,623,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,3,126,318,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Maharashtra,68,497,1931,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Manipur,0,4,16,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Meghalaya,0,4,20,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Mizoram,0,11,11,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Nagaland,0,6,50,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Odisha,4,19,45,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Puducherry,0,4,5,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Punjab,171,236,477,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Rajasthan,19,178,594,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Sikkim,0,5,5,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Tamil Nadu,2,120,158,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Tripura,0,1,1,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2,440,1385,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Uttarakhand,0,33,97,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
West Bengal,64,211,586,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,0,0,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2,127,366,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,0,1,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Assam,0,67,210,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Bihar,7,32,118,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Chandigarh,0,149,284,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Chhattisgarh,0,45,101,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,0,4,4,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Daman & Diu,0,1,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Delhi,184,625,3626,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Goa,0,2,8,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Gujarat,52,370,661,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Haryana,33,363,784,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Himachal Pradesh,1,48,92,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2,53,206,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Jharkhand,0,66,191,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Karnataka,1,116,351,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Kerala,0,170,512,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,0,379,714,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Maharashtra,170,446,1855,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Manipur,0,7,13,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Meghalaya,0,9,61,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Mizoram,0,20,20,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Nagaland,0,4,15,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Odisha,4,22,66,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Puducherry,0,0,7,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Punjab,105,169,457,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Rajasthan,23,186,665,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Sikkim,0,3,3,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Tamil Nadu,54,109,166,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Tripura,0,1,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Uttar Pradesh,1,400,1162,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Uttarakhand,0,34,80,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
West Bengal,115,168,392,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Andhra Pradesh,38,182,414,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,0,0,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Assam,0,52,249,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Bihar,0,32,185,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Chandigarh,0,98,289,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Chhattisgarh,0,22,56,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,0,2,5,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Daman & Diu,0,1,2,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Delhi,178,647,3850,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Goa,0,4,9,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Gujarat,46,217,596,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Haryana,0,379,929,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Himachal Pradesh,6,45,108,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,3,46,179,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Jharkhand,0,43,104,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Karnataka,1,203,872,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Kerala,0,208,437,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,10,160,484,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Maharashtra,44,564,2136,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Manipur,0,0,2,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Meghalaya,0,23,91,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Mizoram,0,0,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Nagaland,11,10,49,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Odisha,4,13,21,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Puducherry,0,2,4,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Punjab,108,160,440,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
Rajasthan,13,266,859,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT2-Motor Car/Taxi/Jeep,0,0,0,0,0,2. Motor Car/Taxi/Jeep,0,0,0,0,0,0,0,0,0
